id	year	img_tech	Unnamed: 3	vx_x	vx_y	vx_z	vx_avg	vx_vol	Unnamed: 9	tgt_vx_size	Unnamed: 11	exp_paper	exp_eff	Unnamed: 14	img_rate	vol_rate	Unnamed: 17	mouse_time	human_time	mouse_str	human_str	Unnamed: 22	mouse_scopes_1yr	human_scopes_1yr	mouse_scopes_1yr_str	human_scopes_1yr_str	Unnamed: 27	cost_scope	cost_scopes_mouse_1yr	cost_scopes_human_1yr
				nm	nm	nm	nm3	mm3		nm					mhz	mm3/sec		sec	sec									$		
Briggman 2011	2011.0	SBF - SEM		17	17	23	18.43	6.26E-15		10		1.0	1.84		0.5	3.30E-09		9.50E+11	2.28E+15	30.1k years	72.3M years		30125.0	72298326.0	30.1K	72.3M				
Kim 2014	2014.0	SBF - SEM		17	17	23	18.43	6.26E-15		10		1.0	1.84		0.5	3.30E-09		9.50E+11	2.28E+15	30.1k years	72.3M years		30125.0	72298326.0	30.1K	72.3M				
Helmstaedter 2011	2011.0	SBF - SEM		22	22	30	24.40	1.45E-14		10		1.0	2.44		0.1	1.82E-09		4.00E+12	9.60E+15	126.8k years	304.4M years		126840.0	304414004.0	126.8K	304.4M				
Helmstaedter 2011	2011.0	SBF - SEM		17	17	25	18.95	6.81E-15		10		1.0	1.9		0.2	1.13E-09		3.00E+12	7.20E+15	95.1k years	228.3M years		95130.0	228310503.0	95.1K	228.3M				
Helmstaedter 2011	2011.0	SBF - SEM		12	12	25	15.33	3.60E-15		10		1.0	1.53		0.2	7.20E-10		2.50E+12	6.00E+15	79.3k years	190.3M years		79275.0	190258752.0	79.3K	190.3M				
Bock 2011	2011.0	ss - TEMCA		4	4	50	9.28	8.00E-16		10		1.0	1.0		5.0	4.00E-09		1.25E+11	3.00E+14	4k years	9.5M years		3964.0	9512938.0	4K	9.5M				
Hua 2015	2015.0	SBF - SEM		12	12	30	16.29	4.32E-15		10		1.0	1.63		0.3	1.35E-09		1.60E+12	3.84E+15	50.7k years	121.8M years		50736.0	121765602.0	50.7K	121.8M				
Ding 2016	2016.0	SBF - SEM		13	13	26	16.55	4.53E-15		10		1.0	1.65		0.4	1.81E-09		1.25E+12	3.00E+15	39.6k years	95.1M years		39638.0	95129376.0	39.6K	95.1M				
Wanner 2016	2016.0	SBF - SEM		9	9	25	12.65	2.03E-15		10		1.0	1.27		2.0	4.05E-09		2.50E+11	6.00E+14	7.9k years	19M years		7928.0	19025876.0	7.9K	19M				
Wanner 2016	2016.0	SBF - SEM		9	9	25	12.88	2.14E-15		10		1.0	1.29		2.0	4.28E-09		2.50E+11	6.00E+14	7.9k years	19M years		7928.0	19025876.0	7.9K	19M				
Allen-Lee 2016	2016.0	ss - TEMCA		4	4	40	8.62	6.40E-16		10		1.0	1.0		8.0	5.12E-09		9.77E+10	2.34E+14	3.1k years	7.4M years		3097.0	7431983.0	3.1K	7.4M				
Zheng 2018	2018.0	ss - TEMCA		4	4	40	8.62	6.40E-16		10		1.0	1.0		50.0	3.20E-08		1.56E+10	3.75E+13	495.5 years	1.2M years		496.0	1189118.0	496	1.2M				
Kasthuri 2015	2015.0	ATUM - SEM		4	4	40	8.62	6.40E-16		10		1.0	1.0		1.0	6.40E-10		7.81E+11	1.88E+15	24.8k years	59.5M years		24774.0	59455860.0	24.8K	59.5M				
Hildebrand 2017	2017.0	ATUM - SEM		56	56	60	57.58	1.91E-13		10		1.0	5.76		1.0	1.91E-07		5.00E+11	1.20E+15	15.9k years	38.1M years		15855.0	38051751.0	15.9K	38.1M				
Hildebrand 2017	2017.0	ATUM - SEM		19	19	60	27.68	2.12E-14		10		1.0	2.77		1.0	2.12E-08		5.00E+11	1.20E+15	15.9k years	38.1M years		15855.0	38051751.0	15.9K	38.1M				
